,Header_CREATION_DATE,Metadata_TCA,Metadata_MISS_DISTANCE,Metadata_RELATIVE_SPEED,Metadata_relativeStateVector_RELATIVE_POSITION_R,Metadata_relativeStateVector_RELATIVE_POSITION_T,Metadata_relativeStateVector_RELATIVE_POSITION_N,Metadata_relativeStateVector_RELATIVE_VELOCITY_R,Metadata_relativeStateVector_RELATIVE_VELOCITY_T,Metadata_relativeStateVector_RELATIVE_VELOCITY_N,Metadata_SCREEN_VOLUME_X,Metadata_SCREEN_VOLUME_Y,Metadata_SCREEN_VOLUME_Z,Object1_OBJECT_DESIGNATOR,Object2_OBJECT_DESIGNATOR,Covariance_CR_R,Covariance_CT_R,Covariance_CT_T,Covariance_CN_R,Covariance_CN_T,Covariance_CN_N,Covariance_CRDOT_R,Covariance_CRDOT_T,Covariance_CRDOT_N,Covariance_CRDOT_RDOT,Covariance_CTDOT_R,Covariance_CTDOT_T,Covariance_CTDOT_N,Covariance_CTDOT_RDOT,Covariance_CTDOT_TDOT,Covariance_CNDOT_R,Covariance_CNDOT_T,Covariance_CNDOT_N,Covariance_CNDOT_RDOT,Covariance_CNDOT_TDOT,Covariance_CNDOT_NDOT,Covariance_CDRG_R,Covariance_CDRG_T,Covariance_CDRG_N,Covariance_CDRG_RDOT,Covariance_CDRG_TDOT,Covariance_CDRG_NDOT,Covariance_CDRG_DRG,Covariance_CSRP_R,Covariance_CSRP_T,Covariance_CSRP_N,Covariance_CSRP_RDOT,Covariance_CSRP_TDOT,Covariance_CSRP_NDOT,Covariance_CSRP_DRG,Covariance_CSRP_SRP
count,11,11,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
mean,2023-11-26 16:55:46.831454464,2023-12-02 18:37:14.792272896,4812.023258449923,725.2621481085079,552.2407065877543,4744.78750224775,566.4371131708059,-0.5114797728097001,-85.9071047121034,720.1561572113704,50000.0,50000.0,50000.0,1.0,20923.0,1282.7554761126064,-5.763672367658562e-13,216957.13515269823,5.006096547400706e-15,-1.937843824800273e-14,42796.65900485179,-1.0952428619379882e-16,-15.810054068140737,-2.523234146875356e-18,0.0011521068872042282,0.09347668342978686,-5.023925251810195e-16,1.4168551117708295e-19,1.6779638405801776e-20,6.811812935317023e-06,-5.74841323918262e-20,3.1261871115587728e-19,-5.853814191626055e-22,1.1489830769277894e-28,-2.0023295033737192e-28,7.049829164490302e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
min,2023-11-24 04:11:19.791000,2023-12-02 18:37:14.729000,4487.9919699161055,725.2582288296398,316.41369071276085,4445.292426254398,530.1603245256016,-0.5147622062618546,-85.9255763613924,720.1500066738088,50000.0,50000.0,50000.0,1.0,20923.0,1124.0197267558274,-1.5968282252032395e-11,154128.12338390364,-2.4868995751603507e-14,-6.394884621840903e-14,28201.91514336228,-9.897563048007554e-16,-18.80417288034545,-6.938893903907228e-18,0.0008184661668103034,0.0819093262669273,-1.7104922191662461e-15,-1.3823577699190183e-18,-4.007415418006657e-20,5.968878988330614e-06,-9.364057927428949e-19,-9.577450385782722e-19,-3.399278061190286e-21,-1.0893321816362671e-22,-7.571557494022366e-23,-7.257507892734565e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,2023-11-25 11:19:21.019500032,2023-12-02 18:37:14.728999936,4684.296818762927,725.2595903168685,461.45331165988296,4621.562856477254,551.8018433369177,-0.5147581254983085,-85.92243396183557,720.1517513706744,50000.0,50000.0,50000.0,1.0,20923.0,1317.6899999999964,-5.4995175080563286e-12,227528.43011760397,-1.7763568394002505e-15,-4.973799150320701e-14,45329.9910306746,-7.894643529941618e-16,-16.58040623283354,-3.469446951953614e-18,0.00120824362200035,0.09602242356001635,-1.01539935046743e-15,-2.574980159653073e-19,-1.9899242062014886e-20,6.9973254910784794e-06,-2.827837264758348e-19,-4.461916762198194e-19,-1.8678706951956625e-21,-5.0477058032181214e-23,-1.7627641072440196e-23,-7.70559823188305e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,2023-11-26 18:23:05.316000,2023-12-02 18:37:14.729999872,4938.317049507645,725.2617029776949,606.4393638630471,4859.136222837176,579.9937500952103,-0.5135013053321249,-85.91489390486022,720.1547776949577,50000.0,50000.0,50000.0,1.0,20923.0,1317.6899999999996,-2.3837598561726736e-12,227528.4304014197,7.105427357601002e-15,-3.5527136788005016e-14,45329.99109126117,-1.9894432238751203e-16,-16.580403347157812,-3.469446951953614e-18,0.0012082436233108,0.0960224244851624,-5.558361556163992e-16,2.236166980751353e-19,9.06098005075848e-21,6.99732562591256e-06,-5.470447797406571e-20,0.0,-1.5678308618642317e-22,-7.979136368343295e-24,6.717700478699588e-29,6.344580195622353e-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,2023-11-27 22:34:54.244999936,2023-12-02 18:37:14.857499904,4957.341529134208,725.2643812799948,662.6111646612483,4885.401920341668,583.2407557175823,-0.5086339464645911,-85.89454087986155,720.1599056985294,50000.0,50000.0,50000.0,1.0,20923.0,1317.6900000000046,3.0604963008329378e-12,227528.47276572412,1.4210854715202004e-14,1.0658141036401503e-14,45330.00013483137,3.639802218305399e-16,-16.580403327825486,0.0,0.00120824381891245,0.09602242519438575,1.0956721897314073e-17,4.2351647362715017e-19,4.865406488893368e-20,6.997325729277346e-06,9.734317500755897e-20,9.250629853654182e-19,2.692212365140508e-22,6.244579203068505e-23,2.8576824496049293e-23,3.424074641405245e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,2023-11-29 03:38:13.394000,2023-12-02 18:37:14.909000,4958.406650047359,725.2670597848127,687.159093051933,4886.486416724001,583.4129855217901,-0.5056942185665567,-85.87418004906678,720.1650348907175,50000.0,50000.0,50000.0,1.0,20923.0,1320.7507837107614,1.684757888753552e-11,258044.62796478329,2.4868995751603507e-14,4.973799150320701e-14,51719.45401639349,1.4546960776804301e-15,-11.231591799192538,0.0,0.0013702936600647,0.0962454683309214,6.055113491027484e-16,1.4162390878091904e-18,1.0749795690978712e-19,7.013579161552798e-06,8.270160351341e-19,2.7425093078443005e-18,2.0416770838906054e-21,1.0893325629753704e-22,5.0477214309299524e-23,6.710993658114265e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
std,,,209.62564540684082,0.003420030111208024,154.66919502501736,194.63735243597006,23.433080563025943,0.0038926715247680887,0.021550863255712444,0.005986927315240682,0.0,0.0,0.0,0.0,0.0,78.48636016273659,9.598143471817972e-12,32368.462024033222,1.479435851549357e-14,3.9572945091231886e-14,7463.05381017874,7.672548009505335e-16,2.358747607445887,2.7278366826022935e-18,0.00017188614866841233,0.005719441042904868,6.987177047039203e-16,7.620055550315008e-19,4.891909231920046e-20,4.1678586923177417e-07,4.6474019882713765e-19,1.1400713206560164e-18,1.632146941458073e-21,7.767060124059715e-23,3.590352036202669e-23,4.2687392597382494e-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
