,cdm,header,COMMENT,CREATION_DATE,ORIGINATOR,MESSAGE_FOR,MESSAGE_ID,body,relativeMetadataData,TCA,MISS_DISTANCE,RELATIVE_SPEED,relativeStateVector,RELATIVE_POSITION_R,RELATIVE_POSITION_T,RELATIVE_POSITION_N,RELATIVE_VELOCITY_R,RELATIVE_VELOCITY_T,RELATIVE_VELOCITY_N,SCREEN_VOLUME_X,SCREEN_VOLUME_Y,SCREEN_VOLUME_Z,COLLISION_PROBABILITY,COLLISION_PROBABILITY_METHOD,segment,metadata,OBJECT,OBJECT_DESIGNATOR,CATALOG_NAME,OBJECT_NAME,INTERNATIONAL_DESIGNATOR,OBJECT_TYPE,OPERATOR_CONTACT_POSITION,OPERATOR_ORGANIZATION,OPERATOR_PHONE,OPERATOR_EMAIL,EPHEMERIS_NAME,COVARIANCE_METHOD,MANEUVERABLE,REF_FRAME,GRAVITY_MODEL,ATMOSPHERIC_MODEL,N_BODY_PERTURBATIONS,SOLAR_RAD_PRESSURE,EARTH_TIDES,INTRACK_THRUST,data,odParameters,RECOMMENDED_OD_SPAN,ACTUAL_OD_SPAN,OBS_AVAILABLE,OBS_USED,RESIDUALS_ACCEPTED,WEIGHTED_RMS,additionalParameters,AREA_PC,AREA_DRG,AREA_SRP,MASS,CD_AREA_OVER_MASS,CR_AREA_OVER_MASS,stateVector,X,Y,Z,X_DOT,Y_DOT,Z_DOT,covarianceMatrix,CR_R,CT_R,CT_T,CN_R,CN_T,CN_N,CRDOT_R,CRDOT_T,CRDOT_N,CRDOT_RDOT,CTDOT_R,CTDOT_T,CTDOT_N,CTDOT_RDOT,CTDOT_TDOT,CNDOT_R,CNDOT_T,CNDOT_N,CNDOT_RDOT,CNDOT_TDOT,CNDOT_NDOT,CDRG_R,CDRG_T,CDRG_N,CDRG_RDOT,CDRG_TDOT,CDRG_NDOT,CDRG_DRG,CSRP_R,CSRP_T,CSRP_N,CSRP_RDOT,CSRP_TDOT,CSRP_NDOT,CSRP_DRG,CSRP_SRP,TIME_LASTOB_START,TIME_LASTOB_END,START_SCREEN_PERIOD,STOP_SCREEN_PERIOD,SCREEN_VOLUME_FRAME,SCREEN_VOLUME_SHAPE,SCREEN_ENTRY_TIME,SCREEN_EXIT_TIME
CSPOC,,,Screened with = inertial state vector.,2023-11-26T02:06:03.000,CSpOC,SAT_1,000000001E_conj_000020923_2023336183714_330020518260,,,2023-12-02T18:37:14.815,4996.945216829978,725.3052185114899,,345.0,4949.9,590.7,-0.9,-85.9,720.2,0.0,0.0,0.0,0.0,,,,OBJECT2,20923,SATCAT,GORIZONT 21,1990-094A,PAYLOAD,"https://www.space-track.org/expandedspacedata/query/class/organization/object/~~20923/orderby/ORG_NAME,INFO_ID/format/html/emptyresult/show/",- Whitelist-Show public CDMs,"https://www.space-track.org/expandedspacedata/query/class/organization/object/~~20923/orderby/ORG_NAME,INFO_ID/format/html/emptyresult/show/","https://www.space-track.org/expandedspacedata/query/class/organization/object/~~20923/orderby/ORG_NAME,INFO_ID/format/html/emptyresult/show/",NONE,CALCULATED,N/A,ITRF,EGM-96: 8D 8O,NONE,"MOON,SUN",YES,YES,NO,,,25.93,25.93,370,370,98.9,1.027,,7.4991,0.0,0.0,0.0,0.0,0.007245398284,,41842.18868,-5322.743463,-17.86675600000002,-0.009454003,-0.088413918,0.7240476720000004,,23359.57750910707,11776.70432786769,970771.9400804391,-185.2508192771527,-490.4705492538542,791.3400505394892,-1.157444042489163,-71.12413610759991,0.04007026772797755,0.00521729622818318,-1.709567327610004,-1.294352640151455,0.01369071620380344,1.163449464867605E-4,1.253122625004354E-4,-0.01752925790616835,-0.07469862482078829,0.04353435036150875,5.736810931315083E-6,1.312521986420406E-6,7.048456962857003E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-25T02:06:03.257,2023-11-26T02:06:03.257,,,,,,
CAESAR_TRJ,,,JAC_LAST_ACC_OB = Greater Than (>) 48 Hours,2023-11-28T02:22:38.815,CAESAR,SAT_1,TRJ18806328,,,2023-12-02T18:37:14.777,4772.359683969186,725.2699170401662,,344.90742025190144,4726.382735102276,563.7038814455515,-0.509265651287039,-85.87910619565668,720.1673224542898,24000.0,436800.0,36000.0,,,,,OBJECT2,20923,SATCAT,GORIZONT 21,1990-094A,UNKNOWN,,,,,NONE,CALCULATED,NO,ITRF,EIGEN GL04S: 8D 8O,NONE,"MOON,SUN",YES,NO,,,,27.44,27.44,391,391,99.0,1.013,,101.93376457451753,,,,,0.007262642425999999,,41842.16069372357,-5322.9617989968865,-17.945519850995435,-0.009453062673252192,-0.08841408855193779,0.7240483884300386,,16536.858733790785,-31078.424360550485,705374.8373179017,-67.96518569372508,220.55886364339426,724.9534284623074,2.09203065770665,-50.94602963614014,-0.013991167717328779,0.003683358311697784,-1.1907615189136953,1.8625899135530262,0.004844029103074132,-1.2333429096431732E-4,8.59658557784428E-5,-0.007625396251404042,-0.04877955852947934,0.0351748489284126,3.668226852946357E-6,5.850568602188008E-7,6.742684226439659E-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-27T01:12:38.994,2023-11-28T01:12:38.994,2023-11-28T00:09:00.000,2023-12-12T00:09:00.000,RTN,BOX,2023-12-02T18:36:14.848,2023-12-02T18:38:14.847
